time,open,high,low,close,volume
2025-09-21 08:16:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:17:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:18:00,32.98,32.98,32.98,32.98,0.0
2025-09-21 08:19:00,32.87,32.87,32.86,32.86,8.34888002
2025-09-21 08:20:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:21:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:22:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:23:00,32.86,32.86,32.86,32.86,2.64560123
2025-09-21 08:24:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:25:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:26:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:27:00,32.86,32.86,32.86,32.86,0.0
2025-09-21 08:28:00,32.84,32.84,32.83,32.83,98.0
2025-09-21 08:29:00,32.83,32.83,32.83,32.83,0.0
2025-09-21 08:30:00,32.83,32.83,32.83,32.83,0.5
2025-09-21 08:31:00,32.83,32.83,32.83,32.83,0.0
2025-09-21 08:32:00,32.83,32.83,32.83,32.83,0.0
2025-09-21 08:33:00,32.84,32.84,32.79,32.79,9.70436331
2025-09-21 08:34:00,32.77,32.77,32.77,32.77,1.8619167
2025-09-21 08:35:00,32.77,32.77,32.77,32.77,0.0
2025-09-21 08:36:00,32.77,32.77,32.77,32.77,0.0
2025-09-21 08:37:00,32.77,32.77,32.77,32.77,0.0
2025-09-21 08:38:00,32.77,32.77,32.77,32.77,0.0
2025-09-21 08:39:00,32.75,32.75,32.75,32.75,10.0
2025-09-21 08:40:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:41:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:42:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:43:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:44:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:45:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:46:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:47:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:48:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:49:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:50:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:51:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:52:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:53:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:54:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:55:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:56:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:57:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:58:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 08:59:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 09:00:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 09:01:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 09:02:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 09:03:00,32.75,32.75,32.75,32.75,0.0
2025-09-21 09:04:00,32.73,32.73,32.73,32.73,0.29881
2025-09-21 09:05:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:06:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:07:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:08:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:09:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:10:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:11:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:12:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:13:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:14:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:15:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:16:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:17:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:18:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:19:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:20:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:21:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:22:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:23:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:24:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:25:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:26:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:27:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:28:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:29:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:30:00,32.73,32.73,32.73,32.73,0.0
2025-09-21 09:31:00,32.69,32.69,32.69,32.69,0.13368002
2025-09-21 09:32:00,32.64,32.64,32.63,32.63,1.6885191
2025-09-21 09:33:00,32.63,32.63,32.63,32.63,0.04560809
2025-09-21 09:34:00,32.63,32.63,32.63,32.63,0.0
